"PinCode","Year","State","Population","Crime Rate"
"AL00100","1967","Jefferson, AL","153","7"
"AL00100","1968","Jefferson, AL","163","10"
"AL00100","1969","Jefferson, AL","162","10"
"AL00100","1970","Jefferson, AL","150","3"
"AL00100","1971","Jefferson, AL","176","10"
"AL00100","1972","Jefferson, AL","162","5"
"AL00100","1973","Jefferson, AL","172","9"
"AL00100","1974","Jefferson, AL","169","8"
"AL00100","1975","Jefferson, AL","166","4"
"AL00100","1976","Jefferson, AL","166","5"
"AL00100","1977","Jefferson, AL","159","7"
"AL00100","1978","Jefferson, AL","155","9"
"AL00100","1979","Jefferson, AL","155","6"
"AL00100","1980","Jefferson, AL","157","9"
"AL00100","1981","Jefferson, AL","169","10"
"AL00100","1982","Jefferson, AL","176","5"
"AL00100","1983","Jefferson, AL","168","2"
"AL00100","1984","Jefferson, AL","179","4"
"AL00100","1985","Jefferson, AL","173","8"
"AL00100","1986","Jefferson, AL","163","8"
"AL00100","1987","Jefferson, AL","170","5"
"AL00100","1988","Jefferson, AL","170","6"
"AL00100","1989","Jefferson, AL","165","9"
"AL00100","1990","Jefferson, AL","157","8"
"AL00100","1991","Jefferson, AL","179","4"
"AL00100","1992","Jefferson, AL","151","7"
"AL00100","1993","Jefferson, AL","179","4"
"AL00100","1994","Jefferson, AL","152","8"
"AL00100","1995","Jefferson, AL","171","7"
"AL00100","1996","Jefferson, AL","158","6"
"AL00100","1997","Jefferson, AL","172","6"
"AL00100","1998","Jefferson, AL","180","9"
"AL00100","1999","Jefferson, AL","169","3"
"AL00100","2000","Jefferson, AL","165","2"
"AL00100","2001","Jefferson, AL","159","5"
"AL00100","2002","Jefferson, AL","160","3"
"AL00100","2003","Jefferson, AL","151","3"
"AL00100","2004","Jefferson, AL","159","6"
"AL00100","2005","Jefferson, AL","161","9"
"AL00100","2006","Jefferson, AL","172","4"
"AL00100","2007","Jefferson, AL","174","7"
"AL00100","2008","Jefferson, AL","168","5"
"AL00100","2009","Jefferson, AL","153","7"
"AL00100","2010","Jefferson, AL","169","6"
"AL00100","2011","Jefferson, AL","154","4"
"AL00100","2012","Jefferson, AL","159","8"
"AL00100","2013","Jefferson, AL","169","5"
"AL00100","2014","Jefferson, AL","169","2"
"AL00100","2015","Jefferson, AL","167","2"
"AL00100","2016","Jefferson, AL","159","8"
"AL00100","2017","Jefferson, AL","175","4"
"AL00101","1965","Jefferson, AL","154","6"
"AL00101","1966","Jefferson, AL","178","2"
"AL00101","1967","Jefferson, AL","162","2"
"AL00101","1968","Jefferson, AL","163","10"
"AL00101","1969","Jefferson, AL","176","5"
"AL00101","1970","Jefferson, AL","163","10"
"AL00101","1971","Jefferson, AL","174","4"
"AL00101","1972","Jefferson, AL","173","2"
"AL00101","1973","Jefferson, AL","177","5"
"AL00101","1974","Jefferson, AL","179","6"
"AL00101","1975","Jefferson, AL","165","4"
"AL00101","1976","Jefferson, AL","171","5"
"AL00101","1977","Jefferson, AL","177","2"
"AL00101","1978","Jefferson, AL","159","5"
"AL00101","1979","Jefferson, AL","158","8"
"AL00101","1980","Jefferson, AL","161","6"
"AL00101","1981","Jefferson, AL","169","2"
"AL00101","1982","Jefferson, AL","174","6"
"AL00101","1983","Jefferson, AL","152","3"
"AL00101","1984","Jefferson, AL","158","8"
"AL00101","1985","Jefferson, AL","162","8"
"AL00101","1986","Jefferson, AL","155","5"
"AL00101","1987","Jefferson, AL","173","7"
"AL00101","1988","Jefferson, AL","150","8"
"AL00101","1989","Jefferson, AL","164","3"
"AL00101","1990","Jefferson, AL","166","5"
"AL00101","1991","Jefferson, AL","171","9"
"AL00101","1993","Jefferson, AL","164","7"
"AL00101","1994","Jefferson, AL","178","4"
"AL00101","1995","Jefferson, AL","165","6"
"AL00101","1996","Jefferson, AL","172","6"
"AL00101","1997","Jefferson, AL","164","5"
"AL00101","1998","Jefferson, AL","165","5"
"AL00101","1999","Jefferson, AL","177","10"
"AL00101","2000","Jefferson, AL","166","8"
"AL00101","2004","Jefferson, AL","166","9"
"AL00101","2005","Jefferson, AL","164","2"
"AL00101","2006","Jefferson, AL","177","7"
"AL00101","2007","Jefferson, AL","164","3"
"AL00101","2008","Jefferson, AL","158","9"
"AL00101","2009","Jefferson, AL","171","8"
"AL00101","2010","Jefferson, AL","161","8"
"AL00101","2011","Jefferson, AL","161","3"
"AL00101","2012","Jefferson, AL","159","3"
"AL00101","2013","Jefferson, AL","166","3"
"AL00101","2014","Jefferson, AL","161","8"
"AL00101","2015","Jefferson, AL","167","5"
"AL00101","2016","Jefferson, AL","175","7"
"AL00101","2017","Jefferson, AL","168","3"
"AL00102","1965","Jefferson, AL","157","6"
"AL00102","1966","Jefferson, AL","180","6"
"AL00102","1967","Jefferson, AL","177","9"
"AL00102","1968","Jefferson, AL","161","4"
"AL00102","1969","Jefferson, AL","170","8"
"AL00102","1970","Jefferson, AL","161","10"
"AL00102","1971","Jefferson, AL","159","5"
"AL00102","1972","Jefferson, AL","173","7"
"AL00102","1973","Jefferson, AL","160","4"
"AL00102","1974","Jefferson, AL","151","8"
"AL00102","1975","Jefferson, AL","176","10"
"AL00102","1976","Jefferson, AL","155","5"
"AL00102","1977","Jefferson, AL","174","4"
"AL00102","1978","Jefferson, AL","177","10"
"AL00102","1979","Jefferson, AL","178","5"
"AL00102","1980","Jefferson, AL","155","2"
"AL00102","1981","Jefferson, AL","159","9"
"AL00102","1982","Jefferson, AL","175","9"
"AL00102","1983","Jefferson, AL","153","5"
"AL00102","1984","Jefferson, AL","180","7"
"AL00102","1985","Jefferson, AL","151","6"
"AL00102","1986","Jefferson, AL","168","4"
"AL00102","1987","Jefferson, AL","151","6"
"AL00102","1988","Jefferson, AL","176","8"
"AL00102","1989","Jefferson, AL","180","3"
"AL00102","1990","Jefferson, AL","168","6"
"AL00102","1991","Jefferson, AL","158","5"
"AL00102","1992","Jefferson, AL","176","2"
"AL00102","1993","Jefferson, AL","176","2"
"AL00102","1994","Jefferson, AL","152","8"
"AL00102","1995","Jefferson, AL","151","3"
"AL00102","1996","Jefferson, AL","166","7"
"AL00102","1997","Jefferson, AL","159","2"
"AL00102","1998","Jefferson, AL","151","5"
"AL00102","1999","Jefferson, AL","162","7"
"AL00102","2000","Jefferson, AL","166","3"
"AL00102","2001","Jefferson, AL","163","3"
"AL00102","2002","Jefferson, AL","170","10"
"AL00102","2003","Jefferson, AL","178","6"
"AL00102","2004","Jefferson, AL","158","8"
"AL00102","2005","Jefferson, AL","160","4"
"AL00102","2006","Jefferson, AL","161","6"
"AL00102","2007","Jefferson, AL","164","8"
"AL00102","2008","Jefferson, AL","165","9"
"AL00102","2009","Jefferson, AL","156","5"
"AL00102","2010","Jefferson, AL","157","5"
"AL00102","2011","Jefferson, AL","169","6"
"AL00102","2012","Jefferson, AL","152","9"
"AL00102","2013","Jefferson, AL","165","5"
"AL00102","2014","Jefferson, AL","160","4"
"AL00102","2015","Jefferson, AL","163","9"
"AL00102","2016","Jefferson, AL","153","3"
"AL00102","2017","Jefferson, AL","175","3"
"AL00103","1968","Jefferson, AL","168","2"
"AL00103","1972","Jefferson, AL","171","6"
"AL00103","1979","Jefferson, AL","154","6"
"AL00103","1982","Jefferson, AL","160","6"
"AL00103","1989","Jefferson, AL","163","10"
"AL00103","1995","Jefferson, AL","155","4"
"AL00103","1996","Jefferson, AL","178","2"
"AL00103","2005","Jefferson, AL","167","5"
"AL00103","2013","Jefferson, AL","155","10"
"AL00103","2016","Jefferson, AL","160","9"
"AL00104","1965","Jefferson, AL","175","6"
"AL00104","1966","Jefferson, AL","171","4"
"AL00104","1968","Jefferson, AL","162","8"
"AL00104","1969","Jefferson, AL","160","5"
"AL00104","1970","Jefferson, AL","157","4"
"AL00104","1972","Jefferson, AL","167","6"
"AL00104","1973","Jefferson, AL","170","6"
"AL00104","1974","Jefferson, AL","171","8"
"AL00104","1975","Jefferson, AL","175","6"
"AL00104","1976","Jefferson, AL","180","4"
"AL00104","1977","Jefferson, AL","176","7"
"AL00104","1978","Jefferson, AL","178","3"
"AL00104","1979","Jefferson, AL","156","6"
"AL00104","1980","Jefferson, AL","169","10"
"AL00104","1982","Jefferson, AL","161","5"
"AL00104","1984","Jefferson, AL","176","5"
"AL00104","1985","Jefferson, AL","169","6"
"AL00104","1986","Jefferson, AL","179","10"
"AL00104","1988","Jefferson, AL","174","5"
"AL00104","1989","Jefferson, AL","154","4"
"AL00104","1990","Jefferson, AL","176","10"
"AL00104","1991","Jefferson, AL","164","9"
"AL00104","1992","Jefferson, AL","167","5"
"AL00104","1993","Jefferson, AL","150","9"
"AL00104","1994","Jefferson, AL","160","2"
"AL00104","1995","Jefferson, AL","180","6"
"AL00104","1998","Jefferson, AL","151","5"
"AL00104","2001","Jefferson, AL","153","9"
"AL00104","2003","Jefferson, AL","163","6"
"AL00104","2005","Jefferson, AL","159","5"
"AL00104","2006","Jefferson, AL","172","5"
"AL00104","2007","Jefferson, AL","179","6"
"AL00104","2008","Jefferson, AL","159","9"
"AL00104","2010","Jefferson, AL","153","7"
"AL00104","2011","Jefferson, AL","164","4"
"AL00104","2012","Jefferson, AL","179","8"
"AL00104","2013","Jefferson, AL","156","2"
"AL00104","2014","Jefferson, AL","170","4"
"AL00104","2016","Jefferson, AL","159","2"
"AL00104","2017","Jefferson, AL","150","2"
"AL00105","1977","Jefferson, AL","151","4"
"AL00105","1980","Jefferson, AL","173","2"
"AL00105","1983","Jefferson, AL","176","10"
"AL00105","1987","Jefferson, AL","160","7"
"AL00105","1993","Jefferson, AL","153","3"
"AL00105","2003","Jefferson, AL","180","10"
"AL00105","2007","Jefferson, AL","172","8"
"AL00105","2008","Jefferson, AL","153","4"
"AL00105","2010","Jefferson, AL","164","4"
"AL00105","2013","Jefferson, AL","173","9"
"AL00105","2016","Jefferson, AL","172","4"
"AL00106","1965","Jefferson, AL","151","2"
"AL00106","1966","Jefferson, AL","156","5"
"AL00106","1968","Jefferson, AL","153","2"
"AL00106","1971","Jefferson, AL","158","2"
"AL00106","1973","Jefferson, AL","154","4"
"AL00106","1974","Jefferson, AL","172","6"
"AL00106","1975","Jefferson, AL","154","5"
"AL00106","1976","Jefferson, AL","176","7"
"AL00106","1978","Jefferson, AL","156","2"
"AL00106","1979","Jefferson, AL","163","10"
"AL00106","1980","Jefferson, AL","158","4"
"AL00106","1981","Jefferson, AL","175","8"
"AL00106","1982","Jefferson, AL","151","3"
"AL00106","1983","Jefferson, AL","152","9"
"AL00106","1985","Jefferson, AL","166","4"
"AL00106","1987","Jefferson, AL","178","3"
"AL00106","1996","Jefferson, AL","170","5"
"AL00106","1997","Jefferson, AL","153","9"
"AL00106","2001","Jefferson, AL","157","9"
"AL00106","2003","Jefferson, AL","152","5"
"AL00106","2007","Jefferson, AL","173","8"
"AL00106","2008","Jefferson, AL","176","9"
"AL00106","2010","Jefferson, AL","174","8"
"AL00106","2011","Jefferson, AL","152","7"
"AL00106","2012","Jefferson, AL","173","6"
